Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.882352941176470507e-02 0.000000000000000000e+00
2.000000000000000111e-01 2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00
2.999999999999999889e-01 2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.333333333333333315e-01 8.333333333333332871e-02
4.000000000000000222e-01 2.727272727272727071e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.538461538461538547e-01 1.000000000000000056e-01
5.000000000000000000e-01 3.333333333333333148e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.818181818181818232e-01 1.111111111111111049e-01
5.999999999999999778e-01 3.636363636363636465e-01 0.000000000000000000e+00 7.692307692307692735e-02 1.875000000000000000e-01 2.222222222222222099e-01
6.999999999999999556e-01 4.000000000000000222e-01 0.000000000000000000e+00 9.090909090909091161e-02 2.307692307692307820e-01 2.500000000000000000e-01
8.000000000000000444e-01 4.444444444444444198e-01 0.000000000000000000e+00 1.250000000000000000e-01 2.727272727272727071e-01 3.750000000000000000e-01
9.000000000000000222e-01 5.000000000000000000e-01 7.692307692307692735e-02 1.428571428571428492e-01 3.076923076923077094e-01 5.000000000000000000e-01
1.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.999999999999999889e-01 6.666666666666666297e-01 1.000000000000000000e+00
